Id_vente;Id_bien;Com_id;Date;Valeur
1001;1;1103;2020/01/02;165000
1002;2;6004;2020/01/02;355680
1003;3;6088;2020/01/02;229500
1004;4;6123;2020/01/02;125000
1005;5;13005;2020/01/02;90000
1006;6;13028;2020/01/02;93000
1007;7;13208;2020/01/02;298100
1008;8;13212;2020/01/02;163500
1009;9;14338;2020/01/02;53000
1010;10;14366;2020/01/02;136000
1011;11;17300;2020/01/02;125900
1012;12;25056;2020/01/02;234000
1013;13;29232;2020/01/02;46210
1014;14;29260;2020/01/02;129000
1015;15;31555;2020/01/02;122500
1016;16;33063;2020/01/02;86025
1017;17;33063;2020/01/02;79000
1018;18;33097;2020/01/02;81795
1019;19;33449;2020/01/02;156000
1020;20;34145;2020/01/02;139900
1021;21;34150;2020/01/02;163870
1022;22;34199;2020/01/02;108100
1023;23;37156;2020/01/02;205000
1024;24;37261;2020/01/02;94000
1025;25;38185;2020/01/02;149500
1026;26;40266;2020/01/02;111500
1027;27;40328;2020/01/02;140000
1028;28;44143;2020/01/02;122850
1029;29;44184;2020/01/02;135850
1030;30;51230;2020/01/02;135500
1031;31;54395;2020/01/02;71250
1032;32;56161;2020/01/02;107000
1033;33;58194;2020/01/02;148400
1034;34;59512;2020/01/02;132000
1035;35;60057;2020/01/02;107194
1036;36;60155;2020/01/02;57200
1037;37;60159;2020/01/02;124770
1038;38;60524;2020/01/02;67000
1039;39;69149;2020/01/02;150830
1040;40;69384;2020/01/02;68900
1041;41;74119;2020/01/02;120000
1042;42;74236;2020/01/02;135460
1043;43;74238;2020/01/02;62000
1044;44;74278;2020/01/02;281000
1045;45;75105;2020/01/02;357000
1046;46;75110;2020/01/02;374000
1047;47;75111;2020/01/02;1147650
1048;48;75111;2020/01/02;145000
1049;49;75111;2020/01/02;324120
1050;50;75112;2020/01/02;408220
1051;51;75112;2020/01/02;582670
1052;52;75112;2020/01/02;80000
1053;53;75115;2020/01/02;840250
1054;54;75118;2020/01/02;266000
1055;55;75118;2020/01/02;473000
1056;56;75118;2020/01/02;207200
1057;57;76217;2020/01/02;49000
1058;58;76451;2020/01/02;101250
1059;59;76655;2020/01/02;35000
1060;60;77118;2020/01/02;132000
1061;61;78350;2020/01/02;472950
1062;62;78423;2020/01/02;478161
1063;63;78545;2020/01/02;153700
1064;64;78545;2020/01/02;155800
1065;65;78551;2020/01/02;624000
1066;66;78586;2020/01/02;135700
1067;67;78640;2020/01/02;196000
1068;68;83062;2020/01/02;172850
1069;69;83069;2020/01/02;120500
1070;70;83112;2020/01/02;224000
1071;71;83123;2020/01/02;367000
1072;72;84007;2020/01/02;132840
1073;73;85047;2020/01/02;78500
1074;74;86062;2020/01/02;72000
1075;75;86194;2020/01/02;107100
1076;76;87075;2020/01/02;134000
1077;77;87085;2020/01/02;68181
1078;78;91249;2020/01/02;275900
1079;79;91689;2020/01/02;160000
1080;80;92025;2020/01/02;267740
1081;81;92026;2020/01/02;395300
1082;82;92036;2020/01/02;269000
1083;83;92044;2020/01/02;406400
1084;84;93032;2020/01/02;326500
1085;85;93051;2020/01/02;275050
1086;86;93057;2020/01/02;138000
1087;87;93071;2020/01/02;65000
1088;88;94044;2020/01/02;185750
1089;89;94060;2020/01/02;235000
1090;90;94060;2020/01/02;176000
1091;91;94080;2020/01/02;140000
1092;92;95252;2020/01/02;170950
1093;93;95388;2020/01/02;265000
1094;94;95607;2020/01/02;112000
1095;95;1262;2020/01/03;102000
1096;96;2408;2020/01/03;142000
1097;97;3190;2020/01/03;164000
1098;98;4073;2020/01/03;33880
1099;99;4166;2020/01/03;71000
1100;100;4209;2020/01/03;43000
1101;101;6004;2020/01/03;181875
1102;102;6027;2020/01/03;240250
1103;103;6088;2020/01/03;616900
1104;104;6088;2020/01/03;212550
1105;105;6088;2020/01/03;317800
1106;106;6159;2020/01/03;420000
1107;107;10323;2020/01/03;44000
1108;108;13119;2020/01/03;237720
1109;109;13201;2020/01/03;146000
1110;110;13204;2020/01/03;69350
1111;111;13206;2020/01/03;121000
1112;112;13209;2020/01/03;70000
1113;113;14118;2020/01/03;145000
1114;114;14333;2020/01/03;43000
1115;115;14715;2020/01/03;210800
1116;116;14754;2020/01/03;210000
1117;117;17300;2020/01/03;96000
1118;118;17414;2020/01/03;135000
1119;119;22113;2020/01/03;37000
1120;120;22168;2020/01/03;190000
